recipeID,recipeName,instruction,time,numberOfIngredients,rating,ingredients,picture
1,Carrot Cake,"DIRECTIONS:
1.In a mixing bowl, mix sugar, vegetable oil, and eggs. In another bowl, sift together flour, baking soda, salt, and cinnamon. Fold dry ingredients into wet mixture and blend well. Fold in carrots and chopped nuts until well blended. Distribute batter evenly into 3 (9-inch) cake layer pans, which have been generously greased. There will be approximately 1 pound 5 ounces of batter per pan. 

2. Place in preheated oven and bake for 50 to 60 minutes. Cool layers in pans, for approximately 1 hour. Store layers in pans, inverted, in closed cupboard to prevent drying. Layers must be a minimum of 1 day old.

3. To remove layers from baking pan, turn upside down, tap edge of pan on a hard surface. Center a 9-inch cake circle on top of revolving cake stand. Remove paper from bottom of layer cake. Place first layer, bottom side down, at center of cake stand. With a spatula, evenly spread approximately 3 1/2 ounces of frosting on the layer. Center second layer on top of first layer with topside down. Again with a spatula, evenly spread approximately 3 1/2 ounces of frosting on the layer. Center third layer on top of second layer with topside down. Using both hands, press firmly but gently, all layers together to get one firm cake. With spatula, spread remainder of frosting to cover top and sides of cake. Refrigerated until needed. Display on counter or cake stand with a plastic cover.",95,7,4,"2 cups granulated sugar
1 1/2 cups vegetable oil
4 fresh whole eggs
2 cups pastry flour
2 teaspoons baking soda
1 teaspoon salt
2 teaspoons ground cinnamon
3 cups raw finely ground carrots
4 ounces finely chopped walnuts
1 1/2 pounds powdered sugar
12 ounces room temperature cream cheese
1 tablespoon vanilla extract
2 ounces room temperature margarine",http://lh3.ggpht.com/bdusWZTgamcDJJZ3G4sekfMG1Cw1_laYpkNt_ghgSoJVLqUSVAN2uhnA7pW9zgZ96q_U3zCas0tbNR_mrBGT9A=s730-c-e365
2,Beef Burger,"DIRECTIONS:

1. In a large bowl, mix ground beef, onion powder, salt and pepper until just combined. Do not overmix, or your patties will be tough.
Form patties, without pressing too hard. They should be uniform in thickness. Smooth out any cracks using your fingers. Make these right before you grill them, so they stay at room temperature.

2. Preheat your grill, grill pan or cast-iron skillet to high heat and add burger patties. If using a grill, cover with the lid.

3. Cook until the crust that forms on the bottom of the burger releases it from the pan or grate — about 2 minutes. Gently test, but don't flip it until it gets to this point. When burgers lift up easily, flip, add two slices of cheese to each, close lid if using a grill, and cook on the other side for another 2-3 minutes for medium to medium rare. 

4. Remove burgers with a sturdy metal spatula and transfer to a plate. Allow to rest for several minutes, then transfer to buns.

5. Garnish as desired and serve immediately.",25,5,5,"2 pounds freshly ground chuck, (at least 80% lean, a.k.a. 80/20)
1 tablespoon onion powder
1 teaspoon salt
1 teaspoon freshly ground black pepper
12 slices deli-counter American cheese
6 large burger buns, preferably homemade, toasted if desired",http://lh4.ggpht.com/ZcombAtc807urAH89vi1Ccey8kiNeWNFLwT5TmWCbhIS1F7DAqTSvc3WO4FoM6G7BzCMv0om7b3WX7dscfn2K4U=s730-c-e365
3,"Spinach, Feta, Sun-dried Tomato Omelet","DIRECTIONS:

1. In a medium bowl, beat the eggs with a pinch each of salt and pepper.

2. Melt the butter in a medium nonstick skillet over medium heat. Add the eggs and cook, stirring and tilting the pan, until just set, 2 to 3 minutes. 

3. Sprinkle with the spinach, sun-dried tomatoes, and Feta; fold the eggs over the filling. 

4. Transfer to a plate and serve with the bread.",25,5,5,"2 large eggs kosher salt and black pepper 1/2 tablespoon unsalted butter 1/2 cup spinach, chopped 2 tablespoons oil-packed sun-dried tomatoes, chopped 2 tablespoons crumbled Feta country bread, for serving",http://lh3.ggpht.com/vBDxkLbUSNWSlQIAkSOxML9GmiELdSXrQOa2VGbCXdqSArEV9aYPOb_yo08jgLwkC9uYtTZCW_Glpvfql7voDXI=s730-c-e365
4,Stir-fried Egg and Tomato,"DIRECTIONS:

1. Beat eggs with 1/2 teaspoon salt until smooth but not frothy.

2. Heat 1 tablespoon oil in a 12-inch nonstick skillet over medium-high heat until hot. Add eggs and cook, undisturbed, just until a thin film of cooked egg forms on bottom of skillet but most of eggs are still runny, 5 to 10 seconds. Immediately scrape eggs into a bowl. Wipe out skillet.

3. Heat remaining tablespoon oil in skillet over medium-high heat until hot. Add scallions and stir-fry until just softened, about 30 seconds. Add tomatoes and cook, stirring and turning occasionally, until juices are released and tomatoes are slightly wilted but still intact, 4 to 6 minutes. Sprinkle sugar and 1/4 teaspoon salt over tomatoes and stir to combine. Return eggs to skillet and cook, stirring occasionally, until eggs are just cooked through. Serve sprinkled with reserved scallion greens.",15,4,4,"6 large eggs
2 tablespoons vegetable oil, divided
2 scallions, finely chopped (reserve some chopped greens for garnish)
4 medium tomatoes (about 1 pound), each cut into 6 wedges
1 teaspoon sugar
Accompaniment: white rice",http://lh5.ggpht.com/BLmHLiKl1vkczpP0jzRRVj88xJo3zczzXDL9SwdNXDdtiNofxvjvDUenSiGhj3NZIsHqv-gBYdntkxOIZqNu9eE=s730-e365
5,"Carrot, Potato, Cabbage Soup","DIRECTIONS:

1. Combine the carrots, potatoes, onion, cabbage, garlic, chicken stock, olive oil, thyme, basil, parsley, salt, and pepper in a stock pot over medium-high heat; bring to a simmer and cook until the carrots are tender, about 20 minutes. Transfer to a blender in small batches and blend until smooth.",50,10,5,"4 large carrots, thinly sliced
2 large potatoes, thinly sliced
1 large onion, thinly sliced
1/4 medium head green cabbage, thinly sliced
2 cloves garlic, smashed
6 cups chicken stock
1 tablespoon olive oil
1/4 teaspoon dried thyme
1/4 teaspoon dried basil
1 teaspoon dried parsley
1 teaspoon salt
ground black pepper to taste",http://lh3.ggpht.com/jhAXLuFBxMWzcioDS4OqLW1YcY2SnHn1To2Vzeh9uGonttiwHk8KhhtkqFzt0HJwewXHJQiyz5nvE9Z9FJ9b1g=s730-c-e365
6,Caesar Salad,"DIRECTIONS:

1. For the dressing: Place the anchovies into a blender or food processor. Throw in the Dijon mustard, vinegar, Worcestershire, garlic and lemon juice. Pulse the processor or blend on low speed for several seconds. Scrape down the sides.

2. With the food processor or blender on, drizzle the olive oil into the mixture in a small stream. Scrape down the sides. Add the Parmesan, salt and a generous grind of black pepper. Pulse the whole thing together and mix until thoroughly combined. Refrigerate the dressing for a few hours (it just gets better!) before using it on the salad.

3. For the croutons: Slice the bread into thick slices and cut them into 1-inch cubes. Throw them onto a baking sheet.

4. Heat the olive oil in a small saucepan or skillet over low heat.

5. Crush-but don't chop-the garlic and add them to the oil. Use a spoon to move the garlic around in the pan. After 3 to 5 minutes, turn off the heat and remove the garlic from the pan.

6. Slowly drizzle the olive oil over the bread cubes. Mix together with your hands, and then sprinkle lightly with salt. Toss and cook in the pan until golden brown and crisp. (Add a little butter for more flavor!)

7. For the salad: Wash and dry the hearts of romaine lettuce. Leave them whole. Use a vegetable peeler and shave off large, thin slices of Parmesan.

8. Drizzle about half of the dressing over the top of the hearts. Throw in a good handful of the Parmesan shavings. Give it a good initial toss, just so you can evaluate how much more dressing you need.

9. Add more dressing and Parmesan to taste. Add the cooled croutons. Toss gently.",20,10,5,"Ingredients
Salad Dressing:
4 whole anchovy fillets
2 tablespoons (and up to 3 tablespoons) Dijon mustard
1 tablespoon balsamic or red wine vinegar (balsamic makes it nice and rich)
1 teaspoon Worcestershire sauce
2 cloves fresh garlic, peeled
1/2 whole lemon, juiced
1/2 cup olive oil
1/4 cup freshly grated Parmesan
1 dash salt
Freshly ground black pepper
Croutons:
1/2 loaf crusty French bread
1/4 cup olive oil
2 cloves fresh garlic, peeled
Salt
Salad:
Hearts of romaine lettuce
Fresh Parmesan wedge",http://lh3.ggpht.com/4mXfGtrhAPAqwa9zCvXyCwQGOSxsQuCiAZFOPDNREIM7BXwK11DonVItJ7hL68uUiTNIHjzFYfDmYafaQMIDGw=s730-e365
7,Fried Chicken,"DIRECTIONS:

1. Preheat the oven to 350 degrees F. Spray a baking sheet with nonstick cooking spray.

2. Mix together the flour and 1 teaspoon of the House Seasoning in a small bowl. Sprinkle the chicken with the remaining 1 teaspoon House Seasoning. Pour the buttermilk into a shallow dish. Dredge the chicken in the buttermilk, followed by the flour.

3. Heat 2 tablespoons of the oil in a heavy nonstick skillet over medium-high heat. Add half of the chicken breasts to the hot oil and cook until both sides are browned, about 3 minutes per side, and then transfer to the baking sheet. Repeat with the remaining chicken breasts. Transfer the baking sheet to the oven and bake until the chicken is cooked through, about 10 minutes.

4. Whisk together the cornstarch and 1/4 cup chicken broth until dissolved. Set aside.

5. To make the gravy , add the remaining 1 tablespoon oil to the same skillet and heat over medium heat. Add the onions and saute until translucent, about 2 minutes.

6. Add the remaining chicken broth, scrape the pan drippings with a wooden spoon, raise the heat to medium-high and cook until the mixture begins to bubble, about 2 minutes. Stir in the dissolved cornstarch to incorporate. Bring to a simmer and continue to cook until the mixture thickens, 4 to 5 minutes. Stir in the milk and black pepper and continue cooking over medium-high heat until thickened, 5 minutes longer.

7. Remove the chicken from the oven and top each piece with 4 teaspoons of the gravy. Sprinkle with the chopped green onions.

8. Mix together the salt, garlic powder and pepper.",45,10,5,"Nonstick cooking spray, for greasing
1 1/2 cups all-purpose flour
2 teaspoons House Seasoning, recipe follows
Eight 4-ounce boneless, skinless chicken breasts, pounded
1 1/2 cups low-fat buttermilk
3 tablespoons olive oil
1 1/2 teaspoons cornstarch
One 14-ounce can reduced-sodium chicken broth
1/4 cup sliced Vidalia onion
1/2 cup reduced-fat 1-percent milk
1/4 teaspoon freshly ground black pepper
2 green onions, chopped
House Seasoning
1 cup kosher salt
1/4 cup garlic powder
1/4 cup ground black pepper",http://lh6.ggpht.com/2dR4QiNYJ8fJo6fAXfzaRbQkJhemOsMt1Sv6_Av8aXCbjpwx_e1bfu-Gwafbp0iXSkTGn33G7QevCUEsOEv6Xpk=s730-e365
8,Yogurt Parfait,"DIRECTIONS:

1. Line up 4 parfait, white wine, or other tall glasses.

2. Spoon 2 tablespoons of yogurt into each glass and smooth surface.

3. Spoon 2 tablespoons of granola overtop and smooth surface.

4. Spoon 2 tablespoons of fruit overtop and smooth surface.

5. Repeat the process, adding a bit of honey here and there, to taste.",5,4,5,"2 cups plain yogurt
2 cups your favorite granola
2 cups fresh berries ( raspberries, blueberries, strawberries (hulled and sliced), and/or other fruit such as bananas, peaches or mangos, peeled and sliced
4 tablespoons honey",http://lh4.ggpht.com/usZQLOAOGWfuB-dUouynQSxgLLSzdUGR79zc4EJTXMEB8XOAv5R3FUjGO1ODUVndyESoLwexqmLqijES7V1o=s730-c-e365
9,BLT,"DIRECTIONS:

1. Cook the bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate.

2. Arrange the cooked bacon, lettuce, and tomato slices on one slice of bread. Spread one side of remaining bread slice with the mayonnaise. Bring the two pieces together to make a sandwich.",15,5,5,"4 slices bacon
 2 leaves lettuce
 2 slices tomato
2 slices bread, toasted
 1 tablespoon mayonnaise",http://lh4.ggpht.com/8SZBMmJ1NHF1X-Hnr6Zw4kTsJfVwCXULEC9XsQQndIZuSwI6ZFYscT20JABx1SoR-sP6JOD_s0-He7aQfM8DLQ=s730-c-e365
10,Grilled Cheese Sandwich,"DIRECTIONS:

1. Preheat skillet over medium heat. 

2. Generously butter one side of a slice of bread. Place bread butter-side-down onto skillet bottom and add 1 slice of cheese. Butter a second slice of bread on one side and place butter-side-up on top of sandwich. 

3. Grill until lightly browned and flip over; continue grilling until cheese is melted. Repeat with remaining 2 slices of bread, butter and slice of cheese.",20,3,5,"4 slices white bread
3 tablespoons butter, divided
2 slices Cheddar cheese",http://lh4.ggpht.com/Nh455zm85ukgJhPUxf7JXfuqFTW9YcRjkGL4fiiM-GoI4sz_Cyj0X7xLsmw8lzx89Skd3sP34Vk1JJnB1kg9LPA=s730-e365
11,Grilled Salmon,"DIRECTIONS:

1. Season salmon fillets with lemon pepper, garlic powder, and salt.

2. In a small bowl, stir together soy sauce, brown sugar, water, and vegetable oil until sugar is dissolved. Place fish in a large resealable plastic bag with the soy sauce mixture, seal, and turn to coat. Refrigerate for at least 2 hours.

3. Preheat grill for medium heat.

4. Lightly oil grill grate. Place salmon on the preheated grill, and discard marinade. Cook salmon for 6 to 8 minutes per side, or until the fish flakes easily with a fork.",150,3,4,"1 1/2 pounds salmon fillets
lemon pepper to taste
garlic powder to taste
salt to taste
1/3 cup soy sauce
1/3 cup brown sugar
1/3 cup water
1/4 cup vegetable oil",http://lh6.ggpht.com/wV-AyjWXPSuMzk80GqvomH6UidIG4hb-gCWUwDq6DzOkHHGAQx4QY5bbrtih9sqErhRxY6VCUkQd3Yu1YOBdXN4=s730-c-e365
12,Honey Grilled Shrimp,"DIRECTIONS:

1. In a small bowl, combine the salad dressing, honey and garlic; set aside 1/2 cup. Pour remaining marinade into a large resealable plastic bag; add the shrimp. Seal bag and turn to coat; refrigerate for 30 minutes. Cover and refrigerate reserved marinade for basting.

2. Drain and discard marinade. Thread shrimp onto eight metal or soaked wooden skewers. Moisten a paper towel with cooking oil; using long-handled tongs, rub on grill rack to coat lightly.

3. Grill, uncovered, over medium heat or broil 4 in. from the heat for 1 to 1-1/2 minutes on each side. Baste with reserved marinade. Grill or broil 3-4 minutes longer or until shrimp turn pink, turning and basting frequently.",20,2,5,"1 bottle (8 ounces) Italian salad dressing
 1 cup honey
 1/2 teaspoon minced garlic
 2 pounds uncooked medium shrimp, peeled and deveined",http://lh3.ggpht.com/xrqsnSDMPuKTf90Yo8V1xn-BBl3VdlH68NHBoCFI9t0866P7VFqY60fajmXdSkSQaB7wGCvdsuNoZGSYdDDQSw=s730-c-e365
13,Grilled Vegetables,"DIRECTIONS:

1. Place a grill pan over medium-high heat or prepare the barbecue (medium-high heat). Brush the vegetables with 1/4 cup of the oil to coat lightly. Sprinkle the vegetables with salt and pepper. 

2. Working in batches, grill the vegetables until tender and lightly charred all over, about 8 to 10 minutes for the bell peppers; 7 minutes for the yellow squash, zucchini, eggplant, and mushrooms; 4 minutes for the asparagus and green onions. Arrange the vegetables on a platter. The key to getting those great grill marks is to not shift the vegetables too frequently once they've been placed on the hot grill.

3. Meanwhile, whisk the remaining 2 tablespoons of oil, balsamic vinegar, garlic, parsley, basil, and rosemary in a small bowl to blend. Add salt and pepper to taste. Drizzle the herb mixture over the vegetables. Serve the vegetables, warm or at room temperature.",40,10,5,,http://lh6.ggpht.com/bu--lxZsfKo-1leNXwoeQ8Td1_KQAR6mrslGOw4zTToyHvQsdlUhriz0eW4ei9zbR7MNqMKI70q_3A9M3yz4Qw=s730-e365
14,Grilled Chicken with Kale,"DIRECTIONS:

1. Preheat the oven to 425 degrees F. Toss the potatoes with 1/2 tablespoon olive oil on a rimmed baking sheet; spread in a single layer and roast 5 minutes. Toss the kale in a large bowl with the garlic, 1/2 tablespoon olive oil, 1/4 teaspoon salt, and pepper to taste. Add to the baking sheet with the potatoes and toss. Roast until the kale is crisp and the potatoes are tender, stirring once, 15 to 20 minutes.

2. Meanwhile, preheat a grill or grill pan to medium and brush with olive oil. Slice the chicken breasts in half horizontally to make 4 cutlets. Coat evenly with 1/2 tablespoon olive oil and season with salt and pepper. 

3. Grill the chicken until well marked and cooked through, 2 to 4 minutes per side. Transfer to a plate.

4. Toss the kale, potatoes, the remaining 1/2 tablespoon olive oil, the salad greens, tomatoes, parmesan, lemon juice, and salt and pepper to taste in a large bowl. Divide the chicken among plates and top with any collected juices. Serve with the kale salad.",40,9,4,,http://foodnetwork.sndimg.com/content/dam/images/food/fullset/2012/3/8/1/FNM_040112-WN-Dinners-003-0_s3x4.jpg.rend.sni12col.landscape.jpeg
